timestamp,open,high,low,close,volume
1782819600000,4031.365,4034.995,4029.895,4034.185,0.1208
1782819900000,4034.305,4037.075,4031.415,4032.335,0.1154
1782820200000,4032.315,4032.985,4030.085,4031.675,0.1154
1782820500000,4031.735,4034.515,4030.915,4033.825,0.1006
1782820800000,4033.775,4034.275,4030.045,4031.555,0.131
1782821100000,4031.605,4031.865,4027.945,4027.965,0.1152
1782821400000,4028.055,4028.325,4025.595,4026.205,0.1328
1782821700000,4026.165,4028.295,4024.365,4025.865,0.131
1782822000000,4025.925,4026.095,4017.165,4017.635,0.1676
1782822300000,4017.605,4017.965,4014.455,4016.465,0.1603
1782822600000,4016.435,4021.415,4014.515,4016.105,0.1999
1782822900000,4016.135,4017.925,4012.315,4017.705,0.1789
1782823200000,4017.725,4019.365,4015.445,4018.355,0.1442
1782823500000,4017.875,4018.035,4013.445,4014.775,0.1402
1782823800000,4014.775,4015.865,4012.465,4014.135,0.1435
1782824100000,4014.135,4014.515,4008.385,4009.595,0.1755
1782824400000,4009.565,4018.065,4009.055,4016.185,0.2707
1782824700000,4016.205,4024.095,4014.915,4023.195,0.2203
1782825000000,4023.175,4025.605,4021.845,4023.145,0.2086
1782825300000,4023.145,4030.085,4021.665,4029.605,0.1836
1782825600000,4029.585,4033.055,4018.715,4019.155,0.1982
1782825900000,4019.165,4023.635,4019.055,4023.495,0.1771
1782826200000,4023.615,4027.225,4019.105,4021.415,0.2966
1782826500000,4021.535,4023.085,4012.975,4013.395,0.2961
1782826800000,4013.875,4026.305,4013.605,4024.895,0.233
1782827100000,4024.715,4027.455,4021.725,4023.695,0.2786
1782827400000,4023.655,4032.535,4023.555,4028.385,0.2928
1782827700000,4028.445,4031.955,4026.555,4029.355,0.2118
1782828000000,4029.345,4031.125,4024.825,4025.885,0.2646
1782828300000,4025.905,4044.965,4024.975,4043.145,0.2591
1782828600000,4043.125,4048.285,4036.795,4043.295,0.2774
1782828900000,4043.245,4049.295,4042.925,4049.115,0.2572
1782829200000,4049.185,4063.205,4047.555,4062.395,0.2954
1782829500000,4062.375,4062.425,4053.695,4053.725,0.27
1782829800000,4053.795,4058.185,4051.215,4051.715,0.2603
1782830100000,4051.845,4053.535,4044.385,4049.015,0.247
1782830400000,4049.055,4053.225,4047.715,4050.755,0.238
1782830700000,4050.875,4050.875,4043.535,4043.755,0.2474
1782831000000,4044.035,4047.395,4041.995,4043.425,0.261
1782831300000,4043.495,4044.585,4037.025,4037.125,0.2624
1782831600000,4037.125,4039.145,4033.565,4034.465,0.2865
1782831900000,4034.495,4037.885,4031.955,4034.905,0.2155
1782832200000,4034.865,4036.785,4031.985,4035.735,0.1828
1782832500000,4035.715,4035.715,4025.785,4026.775,0.2146
1782832800000,4027.155,4028.785,4021.945,4027.205,0.2047
1782833100000,4027.125,4030.405,4026.585,4028.335,0.1768
1782833400000,4028.345,4031.085,4026.985,4029.635,0.1672
1782833700000,4029.615,4031.265,4027.105,4030.915,0.1679
1782834000000,4030.905,4030.905,4026.745,4029.455,0.1604
1782834300000,4029.505,4034.625,4029.315,4033.465,0.1854
1782834600000,4033.445,4033.795,4030.885,4033.715,0.1622
1782834900000,4033.745,4034.165,4028.595,4028.985,0.1676
1782835200000,4028.965,4030.065,4025.885,4026.805,0.16
1782835500000,4027.005,4028.685,4025.595,4026.495,0.1148
1782835800000,4026.425,4029.975,4026.185,4029.565,0.1087
1782836100000,4029.595,4030.795,4027.405,4029.895,0.1168
1782836400000,4029.875,4031.185,4028.525,4028.845,0.1146
1782836700000,4028.925,4030.455,4028.135,4029.235,0.126
1782837000000,4029.235,4030.945,4028.405,4030.435,0.1373
1782837300000,4030.385,4030.585,4027.055,4029.905,0.1148
1782837600000,4029.935,4032.045,4028.085,4031.135,0.1095
1782837900000,4031.115,4033.595,4030.705,4031.175,0.1025
1782838200000,4031.185,4031.435,4029.775,4031.165,0.0942
1782838500000,4031.205,4031.215,4025.615,4025.835,0.1647
1782838800000,4025.815,4027.625,4024.145,4026.395,0.162
1782839100000,4026.335,4026.425,4020.955,4022.035,0.1462
1782839400000,4022.065,4023.205,4020.345,4022.825,0.149
1782839700000,4022.855,4027.825,4022.755,4026.275,0.119
1782840000000,4026.035,4026.545,4022.705,4023.355,0.1395
1782840300000,4023.335,4026.005,4021.425,4025.355,0.19
1782840600000,4025.325,4028.075,4025.315,4027.165,0.132
1782840900000,4027.195,4028.255,4025.395,4026.565,0.082
1782841200000,4026.525,4029.565,4025.975,4029.185,0.0945
1782841500000,4029.135,4030.675,4028.845,4029.315,0.098
1782841800000,4029.275,4031.945,4029.265,4030.935,0.0935
1782842100000,4030.835,4031.375,4029.595,4030.535,0.1024
1782842400000,4030.555,4032.095,4030.445,4032.015,0.1059
1782842700000,4032.075,4033.525,4031.235,4032.595,0.0941
1782843000000,4032.575,4033.355,4032.015,4032.215,0.0808
1782843300000,4032.175,4032.385,4030.155,4031.925,0.0752
1782843600000,4031.895,4032.665,4030.725,4031.495,0.0784
1782843900000,4031.385,4032.145,4030.235,4031.265,0.1004
1782844200000,4031.285,4031.325,4028.995,4029.715,0.1007
1782844500000,4029.745,4031.155,4029.325,4029.445,0.066
1782844800000,4029.495,4030.805,4027.915,4030.515,0.0736
1782845100000,4030.545,4031.575,4028.705,4031.225,0.1189
1782845400000,4031.265,4032.175,4030.325,4031.645,0.0994
1782845700000,4031.615,4031.645,4028.145,4028.215,0.1011
1782846000000,4028.005,4029.215,4026.355,4026.355,0.1056
1782846300000,4026.375,4027.315,4024.145,4024.795,0.101
1782846600000,4024.745,4026.315,4023.225,4023.735,0.0988
1782846900000,4023.765,4024.845,4023.075,4023.435,0.0919
1782847200000,4023.405,4023.945,4021.565,4021.615,0.0918
1782847500000,4021.665,4022.225,4020.865,4020.955,0.0938
1782847800000,4020.975,4022.905,4020.395,4021.875,0.1086
1782848100000,4021.835,4022.205,4020.565,4021.695,0.1211
1782848400000,4021.765,4022.525,4020.945,4021.645,0.1113
1782848700000,4021.685,4022.365,4019.825,4020.205,0.1588
1782849000000,4020.205,4020.605,4015.255,4015.955,0.2369
1782849300000,4015.975,4018.105,4014.365,4015.745,0.2873
1782849600000,4015.725,4018.645,4013.525,4017.685,0.102
1782849900000,4017.655,4019.635,4017.155,4019.135,0.0484
1782850200000,4019.115,4020.305,4018.765,4019.575,0.0404
1782850500000,4019.525,4020.775,4017.395,4017.395,0.0517
1782850800000,4017.405,4017.615,4015.425,4015.455,0.0458
1782851100000,4015.405,4015.405,4012.145,4012.675,0.0559
1782851400000,4012.635,4013.295,4011.075,4011.335,0.0392
1782851700000,4011.315,4011.315,4009.825,4010.285,0.0365
1782852000000,4010.235,4011.375,4010.165,4010.875,0.0383
1782852300000,4010.845,4011.205,4009.725,4010.585,0.0377
1782852600000,4010.575,4011.315,4009.685,4010.425,0.0424
1782852900000,4010.345,4010.445,4006.125,4007.165,0.0734
1782856800000,4009.785,4014.975,4009.275,4013.835,0.0783
1782857100000,4013.875,4016.895,4013.735,4016.865,0.0511
1782857400000,4017.185,4017.355,4013.465,4014.315,0.0449
1782857700000,4014.345,4016.215,4012.315,4014.315,0.0542
1782858000000,4014.365,4014.385,4011.775,4012.945,0.0543
1782858300000,4013.015,4014.695,4012.105,4013.645,0.0486
1782858600000,4013.625,4015.425,4013.075,4015.035,0.0234
1782858900000,4015.065,4016.505,4014.835,4016.235,0.0277
1782859200000,4016.145,4017.875,4014.045,4014.095,0.0442
1782859500000,4014.055,4015.985,4012.245,4012.955,0.0418
1782859800000,4012.935,4013.025,4010.845,4011.365,0.0348
1782860100000,4011.505,4012.905,4011.105,4012.865,0.0269
1782860400000,4012.905,4013.265,4010.605,4012.155,0.0464
1782860700000,4012.245,4017.655,4011.965,4016.495,0.0503
1782861000000,4016.565,4017.625,4013.705,4013.805,0.0387
1782861300000,4013.825,4014.765,4011.715,4011.795,0.0286
1782861600000,4011.755,4011.755,4008.295,4009.835,0.0494
1782861900000,4009.805,4011.295,4007.885,4010.765,0.0381
1782862200000,4010.785,4012.285,4009.265,4011.255,0.0391
1782862500000,4011.385,4011.385,4008.525,4009.995,0.0347
1782862800000,4009.975,4010.345,4008.785,4008.975,0.0335
1782863100000,4008.995,4009.835,4006.515,4007.145,0.0488
1782863400000,4007.175,4008.415,4005.855,4007.085,0.0538
1782863700000,4007.055,4007.105,4004.915,4005.485,0.068
1782864000000,4005.755,4007.775,4005.125,4006.675,0.0869
1782864300000,4006.705,4007.755,4005.275,4007.085,0.0905
1782864600000,4007.055,4009.475,4006.725,4008.155,0.0921
1782864900000,4008.085,4008.905,4001.445,4002.125,0.1201
1782865200000,4002.215,4006.635,4001.305,4005.065,0.1159
1782865500000,4005.225,4006.145,4001.165,4001.475,0.1016
1782865800000,4001.545,4005.455,4000.595,4002.975,0.101
1782866100000,4002.945,4004.425,4000.585,4000.715,0.0911
1782866400000,4000.685,4000.995,3995.585,3996.065,0.1282
1782866700000,3996.095,3997.015,3994.405,3995.475,0.1279
1782867000000,3995.495,3998.175,3992.665,3993.735,0.141
1782867300000,3993.705,3999.295,3993.495,3996.485,0.1598
1782867600000,3996.435,3999.505,3989.905,3990.085,0.3016
1782867900000,3990.025,3990.295,3982.625,3984.685,0.2482
1782868200000,3984.855,3985.125,3978.655,3983.885,0.2377
1782868500000,3984.135,3984.195,3975.315,3981.045,0.2628
1782868800000,3981.215,3985.665,3980.545,3983.155,0.2337
1782869100000,3983.145,3985.695,3981.265,3985.455,0.2064
1782869400000,3985.485,3988.235,3976.375,3979.405,0.2251
1782869700000,3979.345,3980.675,3975.155,3975.385,0.1714
