timestamp,open,high,low,close
1767311580000,4343.855,4344.745,4341.528,4342.615
1767311640000,4342.695,4347.225,4342.165,4347.225
1767311700000,4346.965,4348.315,4346.485,4348.175
1767311760000,4348.085,4349.085,4346.735,4349.015
1767311820000,4349.025,4351.005,4348.885,4349.125
1767311880000,4349.135,4349.425,4347.265,4348.455
1767311940000,4348.465,4350.755,4347.788,4347.805
1767312000000,4347.798,4348.645,4345.548,4346.428
1767312060000,4346.438,4346.438,4344.718,4345.845
1767312120000,4345.865,4346.995,4344.905,4345.425
1767312180000,4345.465,4346.355,4345.465,4345.858
1767312240000,4345.885,4347.155,4345.575,4346.035
1767312300000,4345.995,4346.015,4344.095,4344.665
1767312360000,4344.675,4346.365,4344.675,4346.125
1767312420000,4346.155,4347.745,4346.155,4347.615
1767312480000,4347.575,4348.055,4346.095,4348.045
1767312540000,4347.865,4350.215,4347.705,4349.825
1767312600000,4349.795,4352.725,4349.395,4350.235
1767312660000,4350.215,4350.215,4347.035,4347.735
1767312720000,4348.425,4349.625,4347.955,4349.345
1767312780000,4349.135,4349.435,4348.165,4348.545
1767312840000,4348.495,4348.595,4347.555,4347.715
1767312900000,4347.675,4348.695,4347.525,4348.185
1767312960000,4347.905,4349.185,4347.745,4349.045
1767313020000,4349.025,4349.055,4346.215,4346.345
1767313080000,4346.355,4348.325,4346.255,4347.695
1767313140000,4347.685,4347.685,4344.145,4344.255
1767313200000,4344.265,4345.445,4343.535,4345.445
1767313260000,4345.405,4347.105,4344.985,4346.865
1767313320000,4346.835,4346.835,4345.345,4346.315
1767313380000,4346.365,4346.365,4344.725,4345.105
1767313440000,4344.798,4345.025,4342.285,4343.165
1767313500000,4343.145,4343.395,4341.505,4342.165
1767313560000,4342.125,4342.345,4341.075,4341.215
1767313620000,4341.685,4345.625,4341.685,4345.205
1767313680000,4345.215,4346.395,4345.175,4345.905
1767313740000,4345.905,4346.898,4345.685,4346.605
1767313800000,4346.598,4347.898,4346.565,4347.798
1767313860000,4347.898,4347.898,4346.258,4347.035
1767313920000,4347.025,4348.655,4346.998,4348.548
1767313980000,4348.358,4348.358,4347.148,4347.175
1767314040000,4347.248,4348.035,4346.498,4348.035
1767314100000,4347.948,4348.895,4347.048,4348.455
1767314160000,4348.348,4348.935,4347.448,4347.985
1767314220000,4348.025,4348.935,4347.995,4348.935
1767314280000,4348.935,4350.405,4348.605,4348.985
1767314340000,4349.965,4350.405,4347.925,4348.265
1767314400000,4348.285,4348.485,4347.565,4347.585
1767314460000,4347.585,4347.585,4346.248,4347.385
1767314520000,4347.415,4350.595,4347.255,4349.805
1767314580000,4349.845,4349.845,4348.575,4349.175
1767314640000,4349.105,4349.575,4348.275,4349.375
1767314700000,4349.435,4352.905,4349.375,4352.098
1767314760000,4352.115,4352.898,4351.595,4351.645
1767314820000,4351.625,4351.655,4350.798,4350.998
1767314880000,4351.198,4352.098,4350.898,4352.098
1767314940000,4352.115,4352.198,4351.098,4351.565
1767315000000,4351.545,4352.798,4350.398,4351.098
1767315060000,4351.098,4352.298,4351.098,4351.198
1767315120000,4351.298,4351.698,4351.098,4351.398
1767315180000,4351.398,4351.605,4350.798,4351.425
1767315240000,4351.398,4352.155,4351.398,4351.995
1767315300000,4351.975,4352.085,4350.775,4350.825
1767315360000,4350.865,4354.425,4350.795,4354.298
1767315420000,4354.298,4355.545,4353.745,4354.398
1767315480000,4354.375,4354.385,4353.055,4353.565
1767315540000,4353.545,4354.355,4353.255,4353.715
1767315600000,4353.695,4355.575,4352.875,4355.055
1767315660000,4355.055,4355.095,4352.645,4352.775
1767315720000,4352.745,4353.735,4352.655,4353.415
1767315780000,4353.445,4353.705,4350.675,4350.695
1767315840000,4350.675,4350.795,4346.895,4347.785
1767315900000,4347.695,4350.085,4347.695,4349.725
1767315960000,4349.725,4349.725,4348.395,4348.485
1767316020000,4348.465,4349.385,4345.985,4346.035
1767316080000,4345.935,4346.955,4345.555,4345.695
1767316140000,4345.335,4347.825,4345.045,4346.045
1767316200000,4346.015,4349.285,4346.015,4349.135
1767316260000,4349.155,4350.265,4348.515,4350.035
1767316320000,4350.065,4350.325,4348.885,4349.345
1767316380000,4349.285,4350.805,4349.275,4350.625
1767316440000,4350.645,4350.675,4345.665,4346.315
1767316500000,4346.445,4346.765,4344.785,4345.345
1767316560000,4345.355,4347.775,4345.055,4347.575
1767316620000,4347.575,4348.165,4347.085,4348.125
1767316680000,4348.105,4348.715,4347.655,4348.625
1767316740000,4348.585,4349.495,4347.648,4348.895
1767316800000,4348.965,4349.655,4347.465,4347.815
1767316860000,4347.845,4347.935,4345.735,4346.185
1767316920000,4346.155,4348.835,4346.125,4348.325
1767316980000,4348.345,4348.445,4346.015,4347.685
1767317040000,4347.655,4347.765,4346.065,4346.065
1767317100000,4345.975,4346.155,4344.295,4345.085
1767317160000,4345.045,4346.295,4344.475,4345.065
1767317220000,4345.045,4346.865,4344.975,4346.715
1767317280000,4346.715,4348.115,4346.295,4347.795
1767317340000,4347.765,4349.305,4347.765,4348.975
1767317400000,4348.975,4350.385,4348.865,4349.015
