,Date,Open,High,Low,Close,Volume,G,U,V,AG,AL,RSI
125,2026-07-06,61.91999816894531,62.619998931884766,61.6349983215332,62.619998931884766,69,3.1499977111816406,3.1499977111816406,-0.0,0.6083570207868304,0.9244283948625835,39.689640479067336
129,2026-07-10,59.80899810791016,60.345001220703125,59.720001220703125,59.97999954223633,73,0.7599983215332031,0.7599983215332031,-0.0,0.4174998147147042,0.8657139369419643,32.53548476827801
132,2026-07-15,57.11000061035156,58.69499969482422,56.900001525878906,58.69499969482422,568,1.0449981689453125,1.0449981689453125,-0.0,0.4921425410679408,0.5417853764125279,47.59930868945103
137,2026-07-22,60.01900100708008,60.01900100708008,59.3849983215332,59.3849983215332,358,3.049999237060547,3.049999237060547,-0.0,0.6710709163120815,0.6339282989501953,51.42308964356049
142,2026-07-29,57.862998962402344,57.862998962402344,57.862998962402344,57.862998962402344,382,0.5669975280761719,0.5669975280761719,-0.0,0.4433566502162388,0.5402853829520089,45.072967122827755
144,2026-07-31,57.59099960327149,59.20000076293945,57.34000015258789,59.20000076293945,65,1.9249992370605469,1.9249992370605469,-0.0,0.5265710013253349,0.5076424734933036,50.91511705720864
147,2026-08-05,62.0989990234375,62.45000076293945,62.0989990234375,62.45000076293945,6,4.350002288818359,4.350002288818359,-0.0,0.7935711996895927,0.3267854963030134,70.83201292303696
152,2026-08-12,65.55500030517578,66.6500015258789,65.55500030517578,66.625,186,1.7600021362304688,1.7600021362304688,-0.0,0.8564284188406808,0.2874998365129743,74.86731924249119
156,2026-08-18,63.94100189208984,65.25,63.60499954223633,65.25,29,0.0049972534179687,0.0049972534179687,-0.0,0.8428570883614677,0.3152141571044922,72.78110838701784
161,2026-08-25,68.63600158691406,69.50499725341797,68.12000274658203,69.50499725341797,4,0.154998779296875,0.154998779296875,-0.0,0.8137138911655971,0.3097855704171317,72.42672729182073
163,2026-08-27,69.42900085449219,69.42900085449219,69.42900085449219,69.42900085449219,23252,0.1190032958984375,0.1190032958984375,-0.0,0.7000713348388672,0.2851426260811942,71.0577968449708
