time,open,high,low,close,tick_volume
2026-08-14 20:26:00,4381.7,4381.7,4380.26,4381.21,156
2026-08-14 20:27:00,4380.98,4381.22,4379.85,4380.27,136
2026-08-14 20:28:00,4380.46,4381.2,4380.07,4381.09,132
2026-08-14 20:29:00,4381.79,4381.92,4379.19,4379.41,182
2026-08-14 20:30:00,4379.51,4382.21,4379.5,4381.54,171
2026-08-14 20:31:00,4381.72,4382.35,4380.88,4381.6,174
2026-08-14 20:32:00,4381.47,4381.88,4380.68,4381.35,136
2026-08-14 20:33:00,4381.21,4381.87,4380.85,4381.14,125
2026-08-14 20:34:00,4381.16,4382.83,4380.95,4382.53,130
2026-08-14 20:35:00,4382.65,4382.66,4380.43,4380.81,150
2026-08-14 20:36:00,4380.82,4381.54,4380.4,4380.46,137
2026-08-14 20:37:00,4380.43,4380.57,4379.39,4379.97,144
2026-08-14 20:38:00,4380.06,4380.82,4379.84,4380.39,130
2026-08-14 20:39:00,4380.14,4380.51,4379.29,4379.51,127
2026-08-14 20:40:00,4379.5,4380.67,4379.16,4380.46,153
2026-08-14 20:41:00,4380.64,4380.7,4379.83,4380.02,125
2026-08-14 20:42:00,4380.04,4380.33,4378.19,4378.24,135
2026-08-14 20:43:00,4378.18,4378.63,4376.91,4377.44,145
2026-08-14 20:44:00,4377.47,4378.13,4377.39,4377.7,130
2026-08-14 20:45:00,4377.64,4378.04,4376.52,4376.67,146
2026-08-14 20:46:00,4376.66,4377.63,4376.36,4377.07,147
2026-08-14 20:47:00,4376.93,4377.23,4376.34,4376.53,137
2026-08-14 20:48:00,4376.54,4377.02,4376.22,4377.0,127
2026-08-14 20:49:00,4376.89,4377.53,4376.35,4376.94,133
2026-08-14 20:50:00,4376.94,4377.15,4376.31,4376.59,127
2026-08-14 20:51:00,4376.74,4377.3,4376.52,4376.75,120
2026-08-14 20:52:00,4376.68,4379.01,4376.61,4378.97,143
2026-08-14 20:53:00,4378.98,4379.1,4378.14,4378.23,142
2026-08-14 20:54:00,4378.28,4378.76,4377.82,4378.13,115
2026-08-14 20:55:00,4378.1,4378.42,4377.76,4378.33,101
2026-08-14 20:56:00,4378.39,4378.39,4377.37,4377.45,129
2026-08-14 20:57:00,4377.41,4378.02,4377.31,4377.92,106
2026-08-14 20:58:00,4377.63,4377.87,4377.2,4377.35,91
2026-08-14 20:59:00,4377.42,4378.5,4377.07,4378.46,127
2026-08-14 21:00:00,4378.47,4378.87,4377.08,4377.23,159
2026-08-14 21:01:00,4377.24,4377.5,4376.35,4377.07,145
2026-08-14 21:02:00,4376.93,4377.65,4376.73,4376.73,128
2026-08-14 21:03:00,4376.74,4379.46,4376.64,4379.21,161
2026-08-14 21:04:00,4379.22,4381.52,4379.22,4381.23,159
2026-08-14 21:05:00,4381.37,4381.76,4380.49,4381.71,151
2026-08-14 21:06:00,4381.6,4381.73,4380.58,4380.66,133
2026-08-14 21:07:00,4380.56,4380.69,4379.17,4380.07,157
2026-08-14 21:08:00,4379.68,4380.2,4379.4,4379.49,127
2026-08-14 21:09:00,4379.57,4380.57,4379.38,4379.79,144
2026-08-14 21:10:00,4379.78,4380.9,4379.24,4379.68,143
2026-08-14 21:11:00,4379.67,4379.74,4378.39,4378.93,155
2026-08-14 21:12:00,4378.93,4378.96,4377.62,4378.36,137
2026-08-14 21:13:00,4378.35,4378.37,4376.85,4377.73,132
2026-08-14 21:14:00,4377.67,4377.75,4376.89,4377.28,101
2026-08-14 21:15:00,4377.41,4377.99,4376.99,4377.74,138
2026-08-14 21:16:00,4377.74,4377.95,4376.98,4377.49,113
2026-08-14 21:17:00,4377.46,4378.77,4377.46,4378.42,126
2026-08-14 21:18:00,4378.56,4378.56,4377.71,4378.08,91
2026-08-14 21:19:00,4378.12,4379.04,4378.12,4378.44,125
2026-08-14 21:20:00,4378.44,4379.34,4378.14,4378.96,109
2026-08-14 21:21:00,4379.09,4380.31,4379.04,4380.06,136
2026-08-14 21:22:00,4380.0,4380.19,4379.1,4379.27,127
2026-08-14 21:23:00,4379.13,4379.61,4379.1,4379.61,72
2026-08-14 21:24:00,4379.57,4379.83,4379.01,4379.39,105
2026-08-14 21:25:00,4379.49,4380.16,4379.42,4379.62,108
2026-08-14 21:26:00,4379.6,4379.93,4379.38,4379.64,96
2026-08-14 21:27:00,4379.49,4380.47,4379.25,4379.5,114
2026-08-14 21:28:00,4379.55,4379.55,4378.39,4378.39,140
2026-08-14 21:29:00,4378.38,4379.77,4377.88,4379.3,142
2026-08-14 21:30:00,4379.27,4379.83,4378.81,4379.05,134
2026-08-14 21:31:00,4379.05,4379.46,4378.25,4378.4,118
2026-08-14 21:32:00,4377.9,4378.26,4377.29,4378.2,128
2026-08-14 21:33:00,4378.23,4378.32,4377.51,4377.9,95
2026-08-14 21:34:00,4377.89,4378.72,4377.78,4378.04,101
2026-08-14 21:35:00,4378.08,4378.75,4378.08,4378.49,93
2026-08-14 21:36:00,4378.31,4380.06,4378.3,4379.9,95
2026-08-14 21:37:00,4379.79,4380.12,4379.19,4380.12,101
2026-08-14 21:38:00,4380.13,4381.84,4379.92,4381.5,124
2026-08-14 21:39:00,4381.47,4382.71,4381.3,4382.55,121
2026-08-14 21:40:00,4382.51,4382.73,4382.1,4382.31,121
2026-08-14 21:41:00,4382.26,4382.41,4381.42,4381.51,110
2026-08-14 21:42:00,4381.53,4382.23,4380.77,4381.83,118
2026-08-14 21:43:00,4381.96,4382.04,4378.2,4379.3,118
2026-08-14 21:44:00,4379.33,4379.54,4376.27,4376.4,161
2026-08-14 21:45:00,4376.4,4376.95,4370.47,4373.15,154
2026-08-14 21:46:00,4373.33,4374.47,4372.6,4374.35,155
2026-08-14 21:47:00,4374.35,4374.93,4373.62,4373.81,126
2026-08-14 21:48:00,4373.93,4374.86,4373.93,4374.68,115
2026-08-14 21:49:00,4374.69,4375.06,4373.99,4374.18,116
2026-08-14 21:50:00,4374.26,4374.5,4373.49,4373.8,105
